,Proj Pts,Salary,QB,RB,RB,WR,WR,WR,TE,RB/WR/TE,DST
106,148.52181888888887,49800.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,DeSean Jackson,Ravens 
107,148.00581888888888,49700.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,DeSean Jackson,Colts 
108,144.09700888888887,49600.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,DeSean Jackson,Bengals 
109,146.35381888888887,49500.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,DeSean Jackson,Chargers 
110,145.4944022222222,49900.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Marvin Jones Jr.,Packers 
111,145.0110922222222,49900.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Marvin Jones Jr.,Raiders 
112,145.8346522222222,49800.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Marvin Jones Jr.,Vikings 
113,145.59215222222218,49800.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Marvin Jones Jr.,Panthers 
114,145.6899022222222,49700.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Marvin Jones Jr.,Seahawks 
115,145.6839022222222,49600.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Marvin Jones Jr.,Falcons 
116,144.0901522222222,49600.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Marvin Jones Jr.,Jaguars 
117,144.66790222222218,49500.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Marvin Jones Jr.,Buccaneers 
118,144.16790222222218,49500.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Marvin Jones Jr.,Browns 
119,145.8134161111111,49900.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Terry McLaurin,Vikings 
120,145.5709161111111,49900.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Terry McLaurin,Panthers 
121,145.66866611111112,49800.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Terry McLaurin,Seahawks 
122,145.66266611111112,49700.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Terry McLaurin,Falcons 
123,144.06891611111112,49700.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Terry McLaurin,Jaguars 
124,144.6466661111111,49600.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Terry McLaurin,Buccaneers 
125,144.1466661111111,49600.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Terry McLaurin,Browns 
126,143.05191611111113,49500.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Terry McLaurin,Jets 
127,142.86735611111112,49500.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Terry McLaurin,Cardinals 
128,147.01942999999997,49900.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Cole Beasley,Bears 
129,147.784055,49800.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Cole Beasley,Patriots 
130,148.34242999999998,49700.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Cole Beasley,Ravens 
131,147.82643,49600.0,Lamar Jackson,Austin Ekeler,James White,Marquise Brown,N'Keal Harry,Willie Snead IV,George Kittle,Cole Beasley,Colts 
